District,Year,Month,Monthly_rainfall
Guntur,2025,2,0.172203676
Guntur,2025,3,0.738257334
Guntur,2025,4,48.068961276
Guntur,2025,5,395.724526312
Guntur,2025,6,146.64070168199999
Kadapa,2021,1,46.078204725999996
Kadapa,2021,2,12.365958464
Kadapa,2021,3,0.0
Kadapa,2021,4,27.441227265000002
Kadapa,2021,5,64.642766948
Kadapa,2021,6,103.967927835
Kadapa,2021,7,193.090659897
Kadapa,2021,8,84.395377092
Kadapa,2021,9,96.724689746
Kadapa,2021,10,158.842878541
Kadapa,2021,11,504.2624113
Kadapa,2021,12,41.048745127
Kadapa,2022,1,19.059882685999998
Kadapa,2022,2,0.0
Kadapa,2022,3,0.644627816
Kadapa,2022,4,2.447167029
Kadapa,2022,5,128.72469116
Kadapa,2022,6,123.179586997
Kadapa,2022,7,66.563094504
Kadapa,2022,8,127.447862638
Kadapa,2022,9,115.791085467
Kadapa,2022,10,98.121416839
Kadapa,2022,11,121.1313155069
Kadapa,2022,12,123.3132550962
Kadapa,2023,1,0.5504626103
Kadapa,2023,2,0.0
Kadapa,2023,3,48.8393715054
Kadapa,2023,4,9.825193607
Kadapa,2023,5,66.4903140876
Kadapa,2023,6,32.3559520746
Kadapa,2023,7,81.4538547671
Kadapa,2023,8,53.2974012551
Kadapa,2023,9,162.6764446278
Kadapa,2023,10,10.0205804276
Kadapa,2023,11,79.7375150066
Kadapa,2023,12,123.9602232868
Kadapa,2024,1,4.326111667
Kadapa,2024,2,0.221875131
Kadapa,2024,3,0.037493137
Kadapa,2024,4,0.878830986
Kadapa,2024,5,70.814151583
Kadapa,2024,6,150.32443099099999
Kadapa,2024,7,88.77686577
Kadapa,2024,8,119.739046476
Kadapa,2024,9,71.149605821
Kadapa,2024,10,153.92496709899999
Kadapa,2024,11,58.311174269000006
Kadapa,2024,12,103.279422676
Kadapa,2025,1,2.31140671
Kadapa,2025,2,0.07425003200000001
Kadapa,2025,3,1.342334924
Kadapa,2025,4,29.058538726
Kadapa,2025,5,226.780417112
Kadapa,2025,6,63.88106133
Krishna,2021,1,0.0
Krishna,2021,2,2.815773193
Krishna,2021,3,0.013518516
Krishna,2021,4,20.809454420999998
Krishna,2021,5,59.536913649999995
Krishna,2021,6,114.017714819
Krishna,2021,7,345.18560940000003
Krishna,2021,8,177.996606488
Krishna,2021,9,236.633546559
Krishna,2021,10,77.781971067
Krishna,2021,11,134.87619736
Krishna,2021,12,0.762279291
Krishna,2022,1,21.443459458
Krishna,2022,2,0.005833153
Krishna,2022,3,1.414233975
Krishna,2022,4,1.394272272
Krishna,2022,5,41.060084136
Krishna,2022,6,109.466187736
Krishna,2022,7,296.501957928
Krishna,2022,8,147.946150952
Krishna,2022,9,207.133240847
Krishna,2022,10,211.384868992
Krishna,2022,11,12.981786727200001
Krishna,2022,12,23.9413510074
Krishna,2023,1,0.5710263733
Krishna,2023,2,0.0
Krishna,2023,3,65.63415727499999
Krishna,2023,4,29.4731154821
Krishna,2023,5,101.0137708328
Krishna,2023,6,86.8748741758
Krishna,2023,7,354.7040040449
Krishna,2023,8,100.4357749065
Krishna,2023,9,173.6399135524
Krishna,2023,10,25.7055326755
Krishna,2023,11,43.3951141099
Krishna,2023,12,195.2050385999
Krishna,2024,1,0.212183464
Krishna,2024,2,0.282957284
Krishna,2024,3,0.120865807
Krishna,2024,4,0.426726201
Krishna,2024,5,79.621645012
Krishna,2024,6,211.37478380800002
Krishna,2024,7,224.204691607
Krishna,2024,8,277.707832415
Krishna,2024,9,180.644535257
Krishna,2024,10,118.381282606
Krishna,2024,11,14.347423035
Krishna,2024,12,11.980357126
Krishna,2025,1,0.09645581
Krishna,2025,2,0.069901036
Krishna,2025,3,4.957574976
Krishna,2025,4,51.898003908
Krishna,2025,5,342.113398012
Krishna,2025,6,245.738436456
Kurnool,2021,1,12.325139238999999
Kurnool,2021,2,7.38345693
Kurnool,2021,3,0.000622166
Kurnool,2021,4,30.28343958
Kurnool,2021,5,87.62173785
Kurnool,2021,6,103.128292356
Kurnool,2021,7,158.526795571
Kurnool,2021,8,65.488100435
Kurnool,2021,9,64.232128117
Kurnool,2021,10,99.45985579
Kurnool,2021,11,158.998872133
Kurnool,2021,12,1.215795598
Kurnool,2022,1,7.3100163579999995
Kurnool,2022,2,0.0
Kurnool,2022,3,2.167888444
Kurnool,2022,4,7.787773488
Kurnool,2022,5,83.401360995
Kurnool,2022,6,85.804866086
Kurnool,2022,7,115.18336461300001
Kurnool,2022,8,125.137731274
Kurnool,2022,9,128.49676841
Kurnool,2022,10,145.4602668974
Kurnool,2022,11,9.6685386963
Kurnool,2022,12,42.8763497462
Kurnool,2023,1,0.017211199599999998
Kurnool,2023,2,0.0
Kurnool,2023,3,19.6463374149
Kurnool,2023,4,41.055022592300006
Kurnool,2023,5,71.03936817579999
Kurnool,2023,6,53.9331412681
Kurnool,2023,7,143.98401604740002
Kurnool,2023,8,39.8972160265
Kurnool,2023,9,142.1747177105
Kurnool,2023,10,4.3117278331
Kurnool,2023,11,26.7614244073
Kurnool,2023,12,11.5610908822
Kurnool,2024,1,0.20844680499999999
Kurnool,2024,2,0.041037332
Kurnool,2024,3,0.11152353999999999
Kurnool,2024,4,6.869414679
Kurnool,2024,5,92.735345673
Kurnool,2024,6,159.030187811
Kurnool,2024,7,98.582675822
Kurnool,2024,8,189.325380742
Kurnool,2024,9,104.086104544
Kurnool,2024,10,108.07383036499999
Kurnool,2024,11,10.775791255000001
Kurnool,2024,12,18.458755029
Kurnool,2025,1,0.207497692
Kurnool,2025,2,0.073449982
Kurnool,2025,3,11.544411779999999
Kurnool,2025,4,67.674708942
Kurnool,2025,5,202.012243354
Kurnool,2025,6,128.90319308
Nellore,2021,1,65.031070512
Nellore,2021,2,16.202309656
Nellore,2021,3,0.0
Nellore,2021,4,9.189117686
Nellore,2021,5,14.826706699
Nellore,2021,6,23.784521634
Nellore,2021,7,131.95141282699998
Nellore,2021,8,67.722503977
Nellore,2021,9,90.891102639
Nellore,2021,10,129.75887337400002
Nellore,2021,11,772.231574915
Nellore,2021,12,76.289948655
Nellore,2022,1,56.209540131
Nellore,2022,2,0.0
Nellore,2022,3,2.0813008605
Nellore,2022,4,0.0
Nellore,2022,5,129.26463731799998
Nellore,2022,6,72.472153929
Nellore,2022,7,119.34115615099999
Nellore,2022,8,112.129146497
Nellore,2022,9,76.974987562
Nellore,2022,10,93.3068258633
Nellore,2022,11,308.9360824278
Nellore,2022,12,227.3772697572
Nellore,2023,1,1.1899191453
Nellore,2023,2,0.0
Nellore,2023,3,59.2516330053
Nellore,2023,4,27.359996963399997
Nellore,2023,5,42.8940902643
Nellore,2023,6,30.0078722615
Nellore,2023,7,68.4070465132
Nellore,2023,8,50.5281295223
Nellore,2023,9,99.2123555776
Nellore,2023,10,16.1422243549
Nellore,2023,11,232.90386959580002
Nellore,2023,12,268.54552996
Nellore,2024,1,4.9605867450000005
Nellore,2024,2,0.563142975
Nellore,2024,3,0.010628636
Nellore,2024,4,0.021555452000000003
Nellore,2024,5,59.467649521
Nellore,2024,6,143.02267511
Nellore,2024,7,151.801031371
Nellore,2024,8,98.715454006
Nellore,2024,9,72.460599047
Nellore,2024,10,162.784135659
Nellore,2024,11,158.673349189
Nellore,2024,12,116.425739708
Nellore,2025,1,6.795280604
Nellore,2025,2,0.016201884
Nellore,2025,3,1.3088461
Nellore,2025,4,12.032219995999998
Nellore,2025,5,219.367082328
Nellore,2025,6,87.54881460600001
Prakasam,2021,1,5.3065986370000005
Prakasam,2021,2,16.42060588
Prakasam,2021,3,0.0
Prakasam,2021,4,21.752497864
Prakasam,2021,5,67.32706158799999
Prakasam,2021,6,50.960123159
Prakasam,2021,7,156.823030206
Prakasam,2021,8,104.12826314099999
Prakasam,2021,9,95.715028817
Prakasam,2021,10,97.975138611
Prakasam,2021,11,314.601798415
Prakasam,2021,12,12.060676637
Prakasam,2022,1,26.815423268
Prakasam,2022,2,0.0
Prakasam,2022,3,3.037766148
Prakasam,2022,4,0.050489266
Prakasam,2022,5,127.656941812
Prakasam,2022,6,61.739170205
Prakasam,2022,7,121.540912042
Prakasam,2022,8,103.142034761
Prakasam,2022,9,100.93961754099999
Prakasam,2022,10,191.63471445209998
Prakasam,2022,11,61.9907915427
Prakasam,2022,12,118.04227101260001
Prakasam,2023,1,0.8198705603
Prakasam,2023,2,0.0103800096
Prakasam,2023,3,38.1650780246
Prakasam,2023,4,22.6969621484
Prakasam,2023,5,100.00356206
Prakasam,2023,6,53.43701593
Prakasam,2023,7,107.2094098569
Prakasam,2023,8,53.6941637128
Prakasam,2023,9,172.7934164669
Prakasam,2023,10,15.3134703242
Prakasam,2023,11,111.7980259361
Prakasam,2023,12,146.425574815
Prakasam,2024,1,0.72978829
Prakasam,2024,2,0.382519054
Prakasam,2024,3,0.076018415
Prakasam,2024,4,1.05297716
Prakasam,2024,5,98.628058745
Prakasam,2024,6,114.370565772
Prakasam,2024,7,123.822168626
Prakasam,2024,8,185.345008005
Prakasam,2024,9,107.70453919799999
Prakasam,2024,10,165.459484903
Prakasam,2024,11,48.556356660999995
Prakasam,2024,12,66.443035975
Prakasam,2025,1,0.155440058
Prakasam,2025,2,0.001371296
Prakasam,2025,3,2.140506222
Prakasam,2025,4,52.472003879999995
Prakasam,2025,5,271.334658122
Prakasam,2025,6,91.153668764
Srikakulam,2021,1,4.558039848
Srikakulam,2021,2,0.010640411
Srikakulam,2021,3,0.00486854
Srikakulam,2021,4,15.171953016
Srikakulam,2021,5,58.262341670000005
Srikakulam,2021,6,67.92522502599999
Srikakulam,2021,7,179.672937029
Srikakulam,2021,8,152.068589092
Srikakulam,2021,9,280.007858903
Srikakulam,2021,10,141.2609953
Srikakulam,2021,11,139.8342766
Srikakulam,2021,12,51.362114813000005
Srikakulam,2022,1,18.570712301
Srikakulam,2022,2,4.348850715
Srikakulam,2022,3,4.748849657
Srikakulam,2022,4,0.908287142
Srikakulam,2022,5,85.68036931
Srikakulam,2022,6,94.7701800498
Srikakulam,2022,7,167.359970847
Srikakulam,2022,8,137.723186516
Srikakulam,2022,9,243.484426131
Srikakulam,2022,10,167.80712218600002
Srikakulam,2022,11,0.5238094423999999
Srikakulam,2022,12,5.763396219500001
Srikakulam,2023,1,2.1405779606
Srikakulam,2023,2,0.0546666127
Srikakulam,2023,3,71.9872030076
Srikakulam,2023,4,25.7659125945
Srikakulam,2023,5,65.9356660783
Srikakulam,2023,6,62.2725921561
Srikakulam,2023,7,272.6824339719
Srikakulam,2023,8,105.3782377114
Srikakulam,2023,9,176.9628315238
Srikakulam,2023,10,10.095388915500001
Srikakulam,2023,11,17.068376309
Srikakulam,2023,12,35.6873207653
Srikakulam,2024,1,0.027031897
Srikakulam,2024,2,0.330905073
Srikakulam,2024,3,16.7320552698
Srikakulam,2024,4,9.351913344
Srikakulam,2024,5,53.951039281
Srikakulam,2024,6,171.722960245
Srikakulam,2024,7,140.848728408
Srikakulam,2024,8,146.739503368
Srikakulam,2024,9,171.360487964
Srikakulam,2024,10,64.586661831
Srikakulam,2024,11,9.201741314
Srikakulam,2024,12,71.147419194
Srikakulam,2025,1,0.0152701176
Srikakulam,2025,2,0.6206982320000001
Srikakulam,2025,3,29.469302617999997
Srikakulam,2025,4,52.221989003999994
Srikakulam,2025,5,209.2385104
Srikakulam,2025,6,167.846278914
Visakhapatnam,2021,1,0.702666083
Visakhapatnam,2021,2,0.180015203
Visakhapatnam,2021,3,4.92606529
Visakhapatnam,2021,4,49.150796109
Visakhapatnam,2021,5,110.524531751
Visakhapatnam,2021,6,97.485588028
Visakhapatnam,2021,7,147.573009248
Visakhapatnam,2021,8,206.849770412
Visakhapatnam,2021,9,407.515663918
Visakhapatnam,2021,10,88.984636634
Visakhapatnam,2021,11,109.780586542
Visakhapatnam,2021,12,5.564544866
Visakhapatnam,2022,1,34.600710565
Visakhapatnam,2022,2,2.38277605
Visakhapatnam,2022,3,5.51019025
Visakhapatnam,2022,4,23.754228154
Visakhapatnam,2022,5,150.439852018
Visakhapatnam,2022,6,145.862477302
Visakhapatnam,2022,7,158.86577690299998
Visakhapatnam,2022,8,170.261203663
Visakhapatnam,2022,9,237.470104097
Visakhapatnam,2022,10,216.7072085448
Visakhapatnam,2022,11,9.134459405500001
Visakhapatnam,2022,12,20.8457686274
Visakhapatnam,2023,1,1.2567790307
Visakhapatnam,2023,2,0.0103358804
Visakhapatnam,2023,3,79.2722513476
Visakhapatnam,2023,4,42.5985215946
Visakhapatnam,2023,5,99.8371440932
Visakhapatnam,2023,6,83.681200303
Visakhapatnam,2023,7,300.5588304617
Visakhapatnam,2023,8,118.5210161907
Visakhapatnam,2023,9,264.5403334771
Visakhapatnam,2023,10,21.367398932
Visakhapatnam,2023,11,22.6376389233
Visakhapatnam,2023,12,170.23770521309999
Visakhapatnam,2024,1,0.854221059
Visakhapatnam,2024,2,0.817583943
Visakhapatnam,2024,3,6.135440515000001
Visakhapatnam,2024,4,31.39419441
Visakhapatnam,2024,5,90.751819209
Visakhapatnam,2024,6,312.251441018
Visakhapatnam,2024,7,261.141755312
Visakhapatnam,2024,8,201.055508453
Visakhapatnam,2024,9,226.583800212
Visakhapatnam,2024,10,102.288532447
Visakhapatnam,2024,11,21.109187861
Visakhapatnam,2024,12,43.906926071
Visakhapatnam,2025,1,0.09879226199999999
Visakhapatnam,2025,2,0.497139128
Visakhapatnam,2025,3,15.86511632
Visakhapatnam,2025,4,106.283860908
Visakhapatnam,2025,5,451.331933992
Visakhapatnam,2025,6,240.250401218
Vizianagaram,2021,1,2.845537728
Vizianagaram,2021,2,0.041783228000000006
Vizianagaram,2021,3,0.34878151999999996
Vizianagaram,2021,4,49.746525946000006
Vizianagaram,2021,5,77.168889506
Vizianagaram,2021,6,103.254909626
Vizianagaram,2021,7,177.426570041
Vizianagaram,2021,8,243.841371164
Vizianagaram,2021,9,417.347218029
Vizianagaram,2021,10,121.64928382
Vizianagaram,2021,11,113.111027855
Vizianagaram,2021,12,17.101792108999998
Vizianagaram,2022,1,55.024363737
Vizianagaram,2022,2,0.463049214
Vizianagaram,2022,3,3.659278285
Vizianagaram,2022,4,4.379153362
Vizianagaram,2022,5,151.718151478
Vizianagaram,2022,6,132.374629267
Vizianagaram,2022,7,263.941556153
Vizianagaram,2022,8,179.797474584
Vizianagaram,2022,9,286.493208774
Vizianagaram,2022,10,217.645281837
Vizianagaram,2022,11,5.7837953846
Vizianagaram,2022,12,6.2389229159
Vizianagaram,2023,1,0.8468882907
Vizianagaram,2023,2,0.3371595202
Vizianagaram,2023,3,81.18516179049999
Vizianagaram,2023,4,55.9463805954
Vizianagaram,2023,5,101.25708466580001
Vizianagaram,2023,6,77.4038608445
Vizianagaram,2023,7,326.123583838
Vizianagaram,2023,8,185.0167027015
Vizianagaram,2023,9,219.7345519679
Vizianagaram,2023,10,19.2638990483
Vizianagaram,2023,11,10.607604740600001
Vizianagaram,2023,12,75.1394782318
Vizianagaram,2024,1,0.9511834830000001
Vizianagaram,2024,2,0.308314603
Vizianagaram,2024,3,26.696790367
Vizianagaram,2024,4,18.305891717999998
Vizianagaram,2024,5,82.69541552700001
Vizianagaram,2024,6,199.317306524
Vizianagaram,2024,7,223.45052984
Vizianagaram,2024,8,228.371615181
Vizianagaram,2024,9,258.761913829
Vizianagaram,2024,10,110.735667126
Vizianagaram,2024,11,14.847504859
Vizianagaram,2024,12,127.707929264
Vizianagaram,2025,1,0.011558084000000001
Vizianagaram,2025,2,2.167509344
Vizianagaram,2025,3,27.518826954
Vizianagaram,2025,4,83.814014304
Vizianagaram,2025,5,318.639336984
Vizianagaram,2025,6,263.62852804
West Godavari,2021,1,0.003618271
West Godavari,2021,2,0.334743468
West Godavari,2021,3,0.28635498
West Godavari,2021,4,36.002748006000004
West Godavari,2021,5,80.939514579
West Godavari,2021,6,81.790427884
West Godavari,2021,7,373.34507141299997
West Godavari,2021,8,175.14943218
West Godavari,2021,9,325.668849585
West Godavari,2021,10,91.250149426
West Godavari,2021,11,153.236042248
West Godavari,2021,12,0.388096495
West Godavari,2022,1,18.573711944
West Godavari,2022,2,1.851199439
West Godavari,2022,3,5.181720132
West Godavari,2022,4,8.051081456
West Godavari,2022,5,81.880351443
West Godavari,2022,6,178.724399392
West Godavari,2022,7,346.806026688
West Godavari,2022,8,216.189963311
West Godavari,2022,9,240.854447388
West Godavari,2022,10,225.6802897801
West Godavari,2022,11,13.863024596099999
West Godavari,2022,12,28.707479028799998
West Godavari,2023,1,0.8764316515999999
West Godavari,2023,2,0.0
West Godavari,2023,3,49.9787179684
West Godavari,2023,4,25.1375083726
West Godavari,2023,5,97.7123201941
West Godavari,2023,6,105.065254781
West Godavari,2023,7,366.9661933864
West Godavari,2023,8,124.8601667298
West Godavari,2023,9,174.7583984667
West Godavari,2023,10,16.0174070021
West Godavari,2023,11,34.3985885989
West Godavari,2023,12,251.82499816619998
West Godavari,2024,1,0.8366732640000001
West Godavari,2024,2,0.363697846
West Godavari,2024,3,6.07253943
West Godavari,2024,4,0.888341722
West Godavari,2024,5,78.944325306
West Godavari,2024,6,227.777310072
West Godavari,2024,7,355.32556227099997
West Godavari,2024,8,356.170770151
West Godavari,2024,9,240.495355304
West Godavari,2024,10,146.310212641
West Godavari,2024,11,11.532805505
West Godavari,2024,12,19.202422586
West Godavari,2025,1,0.245142098
West Godavari,2025,2,0.773686592
West Godavari,2025,3,2.338772086
West Godavari,2025,4,69.486103062
West Godavari,2025,5,426.843666326
West Godavari,2025,6,322.848927582
